﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
MERY-SUR-OISE;87276667;DIM;2024-01-21;2024;H;H;De 10h à 16h;227
BOIS-BRIARD;87746024;JOB;2024-11-26;2024;T12;T12;De 16h à 20h;109
MANTES-STATION;87381590;SAM;2021-04-12;2021;J;J5;Avant 6h;21
BREUILLET-BRUYERES-LE-CHATEL;87545483;JOB;2025-06-02;2025;C;C;De 6h à 10h;683
TRIEL-SUR-SEINE;87381806;SAM;2024-01-20;2024;J;J6;De 6h à 10h;143
FRANCONVILLE-LE-PLESSIS-BOUCHARD;87276071;SAM;2025-08-02;2025;C;C;De 6h à 10h;636
MARCHEZAIS-BROUE;87393470;DIM;2024-01-21;2024;N;N;De 6h à 10h;6
CHAMP-DE-MARS-TOUR-EIFFEL;87393058;SAM;2025-08-02;2025;C;C;De 6h à 10h;611
NOGENT-L'ARTAUD-CHARLY;87116566;SAM;2023-09-16;2023;P;P;De 16h à 20h;104
ACHERES-GRAND-CORMIER;87386052;JOB;2022-11-30;2022;A;A;Avant 6h;3
LE-MEE;87682179;JOB;2024-05-03;2024;D;D;Après 20h;179
MARCHEZAIS-BROUE;87393470;JOB;2024-01-16;2024;N;N;De 10h à 16h;35
BRUNOY;87682120;DIM;2024-03-03;2024;D;D;De 6h à 10h;588
MONTGEROULT-COURCELLES;87381160;JOB;2024-01-16;2024;J;J6;De 10h à 16h;6
ALLEE-DE-LA-TOUR-RENDEZ-VOUS;87113878;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;425
JUVISY;87545244;JOB;2025-11-02;2025;C;C;De 6h à 10h;18143
MAREIL-MARLY;87733667;JOB;2023-10-19;2023;T13;T13;Après 20h;14
CHARS;87381194;JOB;2024-01-16;2024;J;J6;De 10h à 16h;45
MONTIGNY-SUR-LOING;87684100;JOB;2024-01-16;2024;R;R;De 6h à 10h;209
ACHERES-VILLE;87381657;DIM;2022-11-20;2022;A;A;De 16h à 20h;663
LE-VAL-D'OR;87382366;DIM;2024-01-21;2024;L;L2;De 16h à 20h;330
MAREUIL-SUR-OURCQ;87116665;DIM;2023-09-17;2023;P;P;De 16h à 20h;16
CERNAY;87276063;SAM;2024-01-20;2024;H;H;De 6h à 10h;218
US;87381178;DIM;2024-01-21;2024;J;J6;Après 20h;2
ACHERES-GRAND-CORMIER;87386052;DIM;2022-11-20;2022;A;A;De 16h à 20h;29
BONNIERES;87415893;JOB;2025-01-04;2025;J;J5;De 16h à 20h;56
MARLY-LE-ROI;87382465;DIM;2024-01-21;2024;L;L2;Avant 6h;13
CHARTRETTES;87682419;SAM;2024-01-20;2024;R;R;Après 20h;4
MORET-VENEUX-LES-SABLONS;87682278;JOB;2024-01-16;2024;R;R;Après 20h;55
