Nom Gare,Code Gare,Type jour,Date,Annee,Ligne,Axe,Tranche horaire,Somme de Montants,mois,jour_semaine
COURBEVOIE,87382200,SAM,2024-01-20,2024,L,L2,De 6h à 10h,639,1,Saturday
L'ABBAYE,87113886,JOB,2021-09-21,2021,T4,T4,De 6h à 10h,592,9,Tuesday
GENNEVILLIERS,87271205,SAM,2025-08-02,2025,C,C,De 6h à 10h,233,8,Saturday
ROMAIN-ROLLAND,87704296,DIM,2021-12-09,2021,T4,T4,Après 20h,102,12,Thursday
GOUSSAINVILLE,87276246,SAM,2024-02-03,2024,D,D,De 10h à 16h,1897,2,Saturday
ROSNY-BOIS-PERRIER,87113696,DIM,2022-03-20,2022,E,E,De 16h à 20h,2102,3,Sunday
GOUSSAINVILLE,87276246,SAM,2024-02-03,2024,D,D,De 16h à 20h,1150,2,Saturday
ROSNY-SOUS-BOIS,87113704,DIM,2022-03-20,2022,E,E,Après 20h,332,3,Sunday
GRAVIGNY-BALIZY,87393645,DIM,2024-01-12,2024,T12,T12,Avant 6h,3,1,Friday
ROSNY-SUR-SEINE,87415885,JOB,2025-01-04,2025,J,J5,De 10h à 16h,24,1,Saturday
GRAVIGNY-BALIZY,87393645,JOB,2024-11-26,2024,T12,T12,De 6h à 10h,604,11,Tuesday
RUNGIS-LA-FRATERNELLE,87546291,SAM,2025-08-02,2025,C,C,De 16h à 20h,86,8,Saturday
GUERARD-LA-CELLE-SUR-MORIN,87116269,JOB,2023-11-14,2023,P,P,De 10h à 16h,24,11,Tuesday
SAINT-CYR,87393223,DIM,2023-10-15,2023,T13,T13,Après 20h,84,10,Sunday
HAUSSMANN-SAINT-LAZARE,87281899,DIM,2022-03-20,2022,E,E,De 16h à 20h,8160,3,Sunday
L'ISLE-ADAM-PARMAIN,87276527,SAM,2024-01-20,2024,H,H,Après 20h,104,1,Saturday
HERICY,87682435,SAM,2024-01-20,2024,R,R,Avant 6h,1,1,Saturday
SAINT-DENIS,87271015,JOB,2024-05-03,2024,D,D,De 6h à 10h,9012,5,Friday
HOPITAL-DE-MONTFERMEIL,87704338,DIM,2021-12-09,2021,T4,T4,De 6h à 10h,77,12,Thursday
SAINT-FARGEAU,87682542,SAM,2024-02-03,2024,D,D,Après 20h,3,2,Saturday
HOUILLES-CARRIERES-SUR-SEINE,87386409,DIM,2021-05-12,2021,J,J5,De 6h à 10h,67,5,Wednesday
LA-DEFENSE,87382218,DIM,2024-04-28,2024,U,U,De 10h à 16h,1085,4,Sunday
HOUILLES-CARRIERES-SUR-SEINE,87386409,DIM,2022-11-20,2022,A,A,Après 20h,649,11,Sunday
SAINT-MARTIN-D'ETAMPES,87545350,DIM,2025-09-02,2025,C,C,De 16h à 20h,83,9,Tuesday
HOUILLES-CARRIERES-SUR-SEINE,87386409,JOB,2025-01-04,2025,J,J5,De 16h à 20h,2316,1,Saturday
LA-DEFENSE,87382218,SAM,2024-04-27,2024,U,U,De 10h à 16h,1344,4,Saturday
HOUILLES-CARRIERES-SUR-SEINE,87386409,SAM,2021-04-12,2021,J,J5,Avant 6h,7,4,Monday
SAINT-MICHEL-NOTRE-DAME,87547315,DIM,2025-09-02,2025,C,C,De 16h à 20h,10322,9,Tuesday
IVRY-SUR-SEINE,87545301,DIM,2025-09-02,2025,C,C,De 16h à 20h,555,9,Tuesday
LAGNY-THORIGNY,87116319,SAM,2023-11-18,2023,P,P,Après 20h,331,11,Saturday
JAVEL,87393066,DIM,2025-09-02,2025,C,C,De 6h à 10h,290,9,Tuesday
LARDY,87545160,SAM,2025-08-02,2025,C,C,Après 20h,24,8,Saturday
JUVISY,87545244,JOB,2024-12-03,2024,D,D,De 10h à 16h,6551,12,Tuesday
SAINT-QUENTIN-EN-YVELINES-MONTIGNY-LE-BRETONNEUX,87393843,SAM,2025-08-02,2025,C,C,De 10h à 16h,726,8,Saturday
JUVISY,87545244,JOB,2025-06-02,2025,C,C,Avant 6h,1110,6,Monday
LE-PLESSIS-BELLEVILLE,87271551,DIM,2024-01-21,2024,K,K,De 6h à 10h,24,1,Sunday
JUZIERS,87381558,SAM,2024-01-20,2024,J,J6,De 10h à 16h,164,1,Saturday
SAINTE-GENEVIEVE-DES-BOIS,87545210,SAM,2025-08-02,2025,C,C,De 6h à 10h,746,8,Saturday
L'ABBAYE,87113886,JOB,2021-09-21,2021,T4,T4,De 16h à 20h,239,9,Tuesday
LES-COQUETIERS,87113845,SAM,2021-09-18,2021,T4,T4,De 10h à 16h,500,9,Saturday
L'ETANG-LA-VILLE,87382473,DIM,2024-01-21,2024,L,L2,Après 20h,20,1,Sunday
SANTEUIL-LE-PERCHAY,87381186,DIM,2024-01-21,2024,J,J6,De 16h à 20h,23,1,Sunday
L'ETANG-LA-VILLE,87382473,SAM,2024-01-20,2024,L,L2,Après 20h,30,1,Saturday
LES-NOUES,87276238,SAM,2024-02-03,2024,D,D,De 10h à 16h,602,2,Saturday
L'ISLE-ADAM-PARMAIN,87276527,DIM,2024-01-21,2024,H,H,De 16h à 20h,295,1,Sunday
SARCELLES-SAINT-BRICE,87276386,JOB,2024-01-16,2024,H,H,De 16h à 20h,2363,1,Tuesday
LA-BARRE-ORMESSON,87271171,JOB,2024-01-16,2024,H,H,Avant 6h,101,1,Tuesday
LES-SAULES,87546226,SAM,2025-08-02,2025,C,C,De 16h à 20h,260,8,Saturday
LA-BORNE-BLANCHE,87276287,SAM,2024-02-03,2024,D,D,De 16h à 20h,30,2,Saturday
MASSY-PALAISEAU,87393579,DIM,2025-09-02,2025,C,V,De 6h à 10h,133,9,Tuesday
LA-FERTE-SOUS-JOUARRE,87116517,DIM,2023-09-17,2023,P,P,Après 20h,127,9,Sunday
SEUGY,87272039,SAM,2024-01-20,2024,H,H,De 6h à 10h,7,1,Saturday
LA-FERTE-SOUS-JOUARRE,87116517,SAM,2023-09-16,2023,P,P,Avant 6h,17,9,Saturday
LISIERE-PEREIRE,87733683,SAM,2023-10-14,2023,T13,T13,De 6h à 10h,87,10,Saturday
LA-GRANDE-PAROISSE,87682476,DIM,2024-01-21,2024,R,R,Après 20h,5,1,Sunday
SEVRAN-BEAUDOTTES,87271445,DIM,2019-03-24,2019,B,B,De 16h à 20h,2546,3,Sunday
LA-GRANDE-PAROISSE,87682476,JOB,2024-01-16,2024,R,R,Avant 6h,2,1,Tuesday
SEVRES-VILLE-D'AVRAY,87382341,SAM,2024-04-27,2024,U,U,Après 20h,27,4,Saturday
LA-PLAINE-STADE-DE-FRANCE,87164798,SAM,2019-03-16,2019,B,B,Après 20h,1569,3,Saturday
MELUN,87682005,DIM,2024-01-21,2024,R,R,Avant 6h,104,1,Sunday
LA-VERRIERE,87393256,DIM,2024-04-28,2024,U,U,De 10h à 16h,634,4,Sunday
LONGJUMEAU,87393611,SAM,2024-11-30,2024,T12,T12,Après 20h,42,11,Saturday
LAGNY-THORIGNY,87116319,SAM,2023-11-18,2023,P,P,De 16h à 20h,809,11,Saturday
STADE-DE-FRANCE-SAINT-DENIS,87164780,JOB,2024-05-03,2024,D,D,Avant 6h,116,5,Friday
LARDY,87545160,SAM,2025-08-02,2025,C,C,De 6h à 10h,99,8,Saturday
LOUVRES,87276253,JOB,2024-05-03,2024,D,D,Après 20h,122,5,Friday
LE-BOURGET,87271395,DIM,2019-03-17,2019,B,B,De 10h à 16h,5905,3,Sunday
MEUDON,87393108,SAM,2024-01-20,2024,N,N,De 6h à 10h,201,1,Saturday
LE-BRAS-DE-FER,87681395,JOB,2024-05-03,2024,D,D,De 10h à 16h,1235,5,Friday
LYCEE-HENRI-SELLIER,87988717,SAM,2021-11-09,2021,T4,T4,De 16h à 20h,249,11,Tuesday
LE-CHENAY-GAGNY,87113522,DIM,2022-03-20,2022,E,E,Après 20h,145,3,Sunday
MEULAN-HARDRICOURT,87381830,JOB,2024-01-16,2024,J,J6,De 16h à 20h,344,1,Tuesday
LE-PERRAY,87393298,DIM,2024-01-21,2024,N,N,De 6h à 10h,61,1,Sunday
MAISONS-ALFORT-ALFORTVILLE,87681155,SAM,2024-02-03,2024,D,D,Après 20h,2008,2,Saturday
LE-PERRAY,87393298,SAM,2024-01-20,2024,N,N,Après 20h,34,1,Saturday
MITRY-CLAYE,87271528,SAM,2019-03-16,2019,B,B,De 10h à 16h,1160,3,Saturday
LE-PERRAY,87393298,SAM,2024-01-20,2024,N,N,De 16h à 20h,135,1,Saturday
MITRY-CLAYE,87271528,SAM,2024-01-20,2024,K,K,De 10h à 16h,84,1,Saturday
LE-PLESSIS-BELLEVILLE,87271551,SAM,2024-01-20,2024,K,K,De 6h à 10h,49,1,Saturday
MANTES-LA-JOLIE,87381509,SAM,2024-01-20,2024,N,N,De 10h à 16h,373,1,Saturday
LE-RAINCY-VILLEMOMBLE-MONTFERMEIL,87113472,SAM,2022-03-19,2022,E,E,De 6h à 10h,1531,3,Saturday
SURESNES-MONT-VALERIEN,87382374,DIM,2024-04-28,2024,U,U,Avant 6h,0,4,Sunday
LE-STADE,87381095,DIM,2024-01-21,2024,J,J4,De 10h à 16h,1036,1,Sunday
